,Dominant Frequency (Hz)
# FP1-F7,1.4628571428571429
C3-P3,1.4628571428571429
C4-P4,11.702857142857143
CZ-PZ,1.4628571428571429
F3-C3,4.388571428571429
F4-C4,11.702857142857143
F7-T7,1.4628571428571429
F8-T8,11.702857142857143
FP1-F3,1.4628571428571429
FP2-F4,11.702857142857143
FP2-F8,11.702857142857143
FT10-T8,5.851428571428571
FT9-FT10,1.4628571428571429
FZ-CZ,4.388571428571429
P3-O1,2.9257142857142857
P4-O2,2.9257142857142857
P7-O1,1.4628571428571429
P7-T7,2.9257142857142857
P8-O2,2.9257142857142857
T7-FT9,1.4628571428571429
T7-P7,2.9257142857142857
T8-P8-0,1.4628571428571429
T8-P8-1,1.4628571428571429
