,Dominant Frequency (Hz)
# FP1-F7,1.3403141361256545
C3-P3,3.350785340314136
C4-P4,3.350785340314136
CZ-PZ,1.3403141361256545
F3-C3,2.680628272251309
F4-C4,1.3403141361256545
F7-T7,2.680628272251309
F8-T8,3.350785340314136
FP1-F3,1.3403141361256545
FP2-F4,1.3403141361256545
FP2-F8,1.3403141361256545
FT10-T8,1.3403141361256545
FT9-FT10,2.010471204188482
FZ-CZ,2.680628272251309
P3-O1,4.020942408376964
P4-O2,1.3403141361256545
P7-O1,2.010471204188482
P7-T7,2.680628272251309
P8-O2,2.680628272251309
T7-FT9,2.680628272251309
T7-P7,2.680628272251309
T8-P8-0,2.010471204188482
T8-P8-1,2.010471204188482
