,Dominant Frequency (Hz)
# FP1-F7,13.617021276595745
C3-P3,2.723404255319149
C4-P4,5.446808510638298
CZ-PZ,5.446808510638298
F3-C3,2.723404255319149
F4-C4,2.723404255319149
F7-T7,16.340425531914892
F8-T8,2.723404255319149
FP1-F3,13.617021276595745
FP2-F4,8.170212765957446
FP2-F8,8.170212765957446
FT10-T8,5.446808510638298
FT9-FT10,5.446808510638298
FZ-CZ,5.446808510638298
P3-O1,2.723404255319149
P4-O2,2.723404255319149
P7-O1,2.723404255319149
P7-T7,13.617021276595745
P8-O2,8.170212765957446
T7-FT9,13.617021276595745
T7-P7,13.617021276595745
T8-P8-0,16.340425531914892
T8-P8-1,16.340425531914892
