,Dominant Frequency (Hz)
# FP1-F7,5.939675174013921
C3-P3,3.5638051044083525
C4-P4,1.1879350348027842
CZ-PZ,2.3758700696055683
F3-C3,1.1879350348027842
F4-C4,1.1879350348027842
F7-T7,2.9698375870069604
F8-T8,2.9698375870069604
FP1-F3,3.5638051044083525
FP2-F4,2.3758700696055683
FP2-F8,2.3758700696055683
FT10-T8,3.5638051044083525
FT9-FT10,2.9698375870069604
FZ-CZ,1.1879350348027842
P3-O1,8.31554524361949
P4-O2,1.7819025522041763
P7-O1,2.9698375870069604
P7-T7,2.3758700696055683
P8-O2,1.1879350348027842
T7-FT9,1.7819025522041763
T7-P7,2.3758700696055683
T8-P8-0,2.9698375870069604
T8-P8-1,2.9698375870069604
