,Dominant Frequency (Hz)
# FP1-F7,13.924686192468618
C3-P3,10.711297071129707
C4-P4,11.782426778242677
CZ-PZ,11.782426778242677
F3-C3,3.2133891213389116
F4-C4,13.924686192468618
F7-T7,3.2133891213389116
F8-T8,12.853556485355647
FP1-F3,10.711297071129707
FP2-F4,10.711297071129707
FP2-F8,12.853556485355647
FT10-T8,4.2845188284518825
FT9-FT10,8.569037656903765
FZ-CZ,9.640167364016735
P3-O1,3.2133891213389116
P4-O2,3.2133891213389116
P7-O1,3.2133891213389116
P7-T7,2.1422594142259412
P8-O2,3.2133891213389116
T7-FT9,4.2845188284518825
T7-P7,2.1422594142259412
T8-P8-0,11.782426778242677
T8-P8-1,11.782426778242677
