,Dominant Frequency (Hz)
# FP1-F7,12.108108108108109
C3-P3,1.7297297297297298
C4-P4,12.108108108108109
CZ-PZ,12.108108108108109
F3-C3,2.5945945945945947
F4-C4,11.243243243243244
F7-T7,12.108108108108109
F8-T8,11.243243243243244
FP1-F3,12.108108108108109
FP2-F4,12.108108108108109
FP2-F8,12.108108108108109
FT10-T8,12.108108108108109
FT9-FT10,11.243243243243244
FZ-CZ,12.108108108108109
P3-O1,12.108108108108109
P4-O2,1.7297297297297298
P7-O1,1.7297297297297298
P7-T7,1.7297297297297298
P8-O2,1.7297297297297298
T7-FT9,12.108108108108109
T7-P7,1.7297297297297298
T8-P8-0,1.7297297297297298
T8-P8-1,1.7297297297297298
