,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,5.341686655592091e-05,6.4710170751777945e-06,2.0266649862482133e-08,1.9382271104455033,1.915907856884727e-22,2.0826083684989562e-06,9.108240994737958e-11,2.60699608520435
C3-P3,3.083389626991168e-05,1.557061815803915e-06,6.6720752047733575e-09,1.9446534709133596,1.0083725562551194e-22,1.3298187307220623e-06,3.713677498816398e-11,2.5620633810529805
C4-P4,6.242742725332663e-05,4.01617976984097e-06,2.739319361389148e-08,1.9438821813976481,7.26028240503686e-22,1.1320640611959766e-06,2.6912949811682082e-11,2.5840241797525305
CZ-PZ,0.00010186378259264495,9.588548527703074e-06,7.327719326864825e-08,1.941322829872401,4.1343274806459896e-22,2.5323978952519836e-06,1.346738210974102e-10,2.6840197091475138
F3-C3,6.966011947232046e-05,8.64024508828187e-06,3.449030256058477e-08,1.937860042469408,6.151072593156228e-22,4.65822972954084e-06,4.556811884767407e-10,2.4210965629911207
F4-C4,7.535737982359493e-05,1.4375522450379634e-05,4.1197732377192444e-08,1.9262440924716475,7.310701032849616e-22,5.007373611468419e-06,5.265496001814358e-10,2.3900583436546183
F7-T7,3.336331824147042e-05,8.155187247039042e-06,8.25732658181131e-09,1.9126559106800005,2.0167451125102388e-22,2.5478227967436162e-06,1.3631942107573572e-10,2.5125084384371776
F8-T8,8.20243866176395e-05,3.030757037335862e-05,5.3525841753552596e-08,1.862745578607891,-3.1259549243908705e-22,9.94487359147657e-06,2.0769107257594095e-09,2.4435082971884836
FP1-F3,-2.5007336392934538e-05,8.721690419474569e-06,4.910043300697797e-09,1.8898328947431424,-2.5587453614973655e-22,2.336534275148919e-06,1.1464724079785937e-10,2.541608953118223
FP2-F4,9.624733444493464e-05,2.086905769498208e-05,6.789346869782116e-08,1.9201399870757587,6.075444651437095e-22,6.0841060999414645e-06,7.773432877422437e-10,2.2485497007918194
FP2-F8,0.00010331840225680014,1.4917207996252183e-05,7.628050737510987e-08,1.9348870055477136,9.024934378483319e-22,5.490802431196403e-06,6.33127138107079e-10,2.5805241745473424
FT10-T8,2.1231386181398363e-05,1.1407010954886262e-05,4.066241606759983e-09,1.7652966553975602,2.4200941350122865e-22,3.4713429457917394e-06,2.530546587932595e-10,2.237303614586043
FT9-FT10,-4.2103158056936144e-05,4.077996046309301e-06,1.252514179084743e-08,1.9413556396823188,-3.226792180016382e-22,1.4059520295233144e-06,4.151072329573526e-11,2.7790007473950498
FZ-CZ,8.485281374238571e-05,1.4966396281415061e-06,5.0415679511235675e-08,1.9457538594060255,3.226792180016382e-22,2.2495690525024883e-06,1.0627177936151581e-10,2.5449981723478965
P3-O1,8.34386001800126e-05,7.072096498645964e-06,4.908410184220311e-08,1.9424055755142873,4.840188270024573e-22,3.404472117235831e-06,2.433990383377608e-10,2.33733426777689
P4-O2,-5.061672370242218e-05,1.171256585514421e-05,1.889465842094906e-08,1.9163747351196696,-8.066980450040955e-23,6.592950847535178e-06,9.128070184383113e-10,2.710114257831956
P7-O1,4.257186883760838e-05,6.757229519208906e-06,1.3006169169712592e-08,1.933841829420163,3.428466691267406e-22,3.046983010103842e-06,1.9496621474109083e-10,2.409094848228097
P7-T7,-2.4692168799034243e-05,1.4843784531165714e-06,4.283346055744538e-09,1.9440669586522206,-2.9242804131398464e-22,1.173767023841854e-06,2.893230955142983e-11,2.641135758444991
P8-O2,-8.8650987309902e-05,1.3233202010145606e-05,5.623880630523211e-08,1.9341002106189389,-1.1293772630057337e-21,5.1501030442124685e-06,5.569947886861371e-10,2.6734764384209253
T7-FT9,2.8643885553322495e-05,1.8579269652244986e-06,5.767468505399617e-09,1.9438461563671037,7.058607893785836e-23,1.4184924847851944e-06,4.225453951723357e-11,2.6378773775714355
T7-P7,2.5799295987863466e-05,1.4872444872522653e-06,4.674708987439752e-09,1.9442167172300904,2.0167451125102388e-22,1.177781778492848e-06,2.913056827274529e-11,2.640912662085374
T8-P8-0,8.598418459228418e-05,1.2378679743906093e-05,5.282558198541534e-08,1.9359367405453514,1.0033306934738439e-21,7.1848717704147475e-06,1.0840700295033578e-09,2.2884499489610084
T8-P8-1,8.598418459228418e-05,1.2378679743906093e-05,5.282558198541534e-08,1.9359367405453514,1.0033306934738439e-21,7.1848717704147475e-06,1.0840700295033578e-09,2.2884499489610084
