,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,6.029803227929774e-05,5.789312237238362e-07,2.1817127148702206e-08,1.7917134553845786,-1.0114063050594881e-07,9.151927580993453e-07,1.441272259748267e-11,2.582655480773857
C3-P3,2.826401955583967e-05,4.5274989339824616e-08,4.7931411076652815e-09,1.7917581866474572,1.6517427231929164e-07,9.964216695345774e-07,1.7342357623822794e-11,1.8461704358673305
C4-P4,5.971319282684296e-05,3.818030255326704e-07,2.1394867026756214e-08,1.7917390045595183,4.099778142518515e-08,5.593532443220829e-07,5.34746679026226e-12,2.468738334719156
CZ-PZ,0.00010999333100250676,8.553369531523581e-07,7.259558679798268e-08,1.7917292753996308,-1.876670671270084e-08,1.2556147896323049e-06,2.6807651716811694e-11,2.4676940729190795
F3-C3,7.957254945685294e-05,1.689490025397421e-06,3.800787002165536e-08,1.7915331864599873,-4.756411855331819e-08,2.615907949245289e-06,1.1636902465307362e-10,2.567370820136431
F4-C4,8.964385042668051e-05,1.3644074553740883e-06,4.8227289162152105e-08,1.7916433190546266,7.343041527961545e-08,1.97346561779754e-06,6.629929569879177e-11,2.304344398241336
F7-T7,4.0115756193234e-05,9.12744968990581e-07,9.660641990000455e-09,1.7914995369274447,-1.4044288084605293e-08,1.3899304772250748e-06,3.284576755029776e-11,2.5513970883097032
F8-T8,0.00010982453031565117,2.780603203929296e-06,7.24149552793865e-08,1.7914374485216187,1.2806219970362943e-07,4.0302642480194675e-06,2.764103072095665e-10,2.358832874567364
FP1-F3,-1.6621271068967293e-05,3.7225794989435313e-07,1.6584313675760923e-09,1.7915076352808126,-3.997283688955532e-08,5.453694132140305e-07,5.083435617493055e-12,2.468743207097554
FP2-F4,0.0001162835999214986,7.854774837226131e-07,8.113495551348348e-08,1.7917366275723317,-2.7710215226332958e-08,1.2284862602866325e-06,2.5669087911595735e-11,2.57444828772276
FP2-F8,0.00012144183175170919,1.0880018198278525e-06,8.849581348302237e-08,1.7917193999273886,-1.5580433907286074e-07,1.6480798153224806e-06,4.65875151857043e-11,2.549475629944302
FT10-T8,3.2029021909739323e-05,6.674438581903301e-07,6.157822354790386e-09,1.79154150972794,-4.2333395750841003e-08,1.0912891538279135e-06,2.027597027219009e-11,2.592226090403733
FT9-FT10,-4.009891736380792e-05,1.8096057662985603e-07,9.647735522878744e-09,1.791749278040779,9.262336914954278e-08,6.713503260134212e-07,7.807935928765969e-12,2.4065466609278756
FZ-CZ,8.635614901220184e-05,1.3556749663362806e-06,4.475533396099176e-08,1.7916358926534472,6.762080003723595e-08,1.9626741400810357e-06,6.556325999658865e-11,2.3338497570424743
P3-O1,7.46841082321847e-05,8.210135844439298e-07,3.3470340514455106e-08,1.7916991605128407,-4.918456805306126e-08,1.1863887138309787e-06,2.396893413468154e-11,2.2474863079608314
P4-O2,-5.666666594509315e-05,3.919707506587407e-06,1.9358850817619867e-08,1.7893341274035564,-4.5987121797631757e-07,5.78534114304008e-06,5.725881125340805e-10,2.4977027830869374
P7-O1,3.5645625767661133e-05,1.1138664664035942e-06,7.631108009238757e-09,1.7912738114660653,-4.165553846795181e-08,1.620122263513189e-06,4.465103265447461e-11,2.4059623208338974
P7-T7,-2.5600072894495292e-05,7.690277601287259e-07,3.935730815395927e-09,1.791305739105134,-1.0157822868876126e-07,1.1507059539217213e-06,2.268551959188556e-11,2.5307906126581594
P8-O2,-9.257274496119059e-05,1.361826337964732e-06,5.142940608374647e-08,1.7916509755665473,-3.5572439077071237e-07,2.5175289946588938e-06,1.0989636537933605e-10,2.5951379057525488
T7-FT9,2.9145897069268183e-05,9.759298809402496e-07,5.102614530629327e-09,1.7912020226072882,-2.9767139578935018e-08,1.4246849924326706e-06,3.452042797444704e-11,2.4363911791925297
T7-P7,2.6708151689143372e-05,7.722094518433619e-07,4.283530044526848e-09,1.7913392428362618,1.0191987686730447e-07,1.1553456701219309e-06,2.2868591739092383e-11,2.5305970875878927
T8-P8-0,6.878679835975933e-05,1.5940394273491748e-06,2.840498754169278e-08,1.7914920254770221,5.781356390961544e-08,2.4966691255608953e-06,1.0602388522191592e-10,2.575303768812102
T8-P8-1,6.878679835975933e-05,1.5940394273491748e-06,2.840498754169278e-08,1.7914920254770221,5.781356390961544e-08,2.4966691255608953e-06,1.0602388522191592e-10,2.575303768812102
