,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,5.653073929646872e-05,1.916609333871503e-06,1.9196387260463978e-08,1.7911764910047294,-1.6575795653551074e-08,1.4822578858465963e-06,3.9552537548807465e-11,2.549543499396016
C3-P3,3.0569711714909295e-05,1.6384228737296457e-06,5.62315022307494e-09,1.7903518498292805,4.4962196712640747e-08,1.4442075919347203e-06,3.7579629019231975e-11,2.524662008523509
C4-P4,5.9747214571669856e-05,1.6363079166817596e-07,2.1418538544654844e-08,1.791755717114279,3.946124724037077e-09,5.696142118845701e-07,5.840566601061916e-12,2.4984250723571533
CZ-PZ,0.00010749904623595661,1.0167603167790922e-06,6.934247245909268e-08,1.7917145723706243,1.363912850110586e-08,1.2962204475046518e-06,3.0246722538397734e-11,2.5822124103856754
F3-C3,7.294691412127812e-05,5.345622447459193e-06,3.209896775500744e-08,1.788990856068391,-3.357837715831755e-08,4.846907901313179e-06,4.2288558680204487e-10,2.4275905626648764
F4-C4,8.207608601590431e-05,5.646718382777698e-06,4.061021594510713e-08,1.7893238099219246,9.848637137039134e-09,4.836957773553815e-06,4.211326349783305e-10,2.370680681423428
F7-T7,3.7906901865810696e-05,2.1880326239610774e-06,8.65032417496632e-09,1.7900542346578172,-1.3102126789553774e-08,2.1418087384038176e-06,8.257529407732854e-11,2.4952483480869536
F8-T8,9.794447934648484e-05,9.881978437526557e-06,5.814464719376241e-08,1.786441710780557,2.1178130765963772e-08,8.80114721768071e-06,1.3942915354892096e-09,2.4330668427635955
FP1-F3,-2.039670437888358e-05,2.057484721591744e-06,2.521552757394913e-09,1.7868506572517435,-1.2623218710123869e-09,1.5188205818774355e-06,4.152271596103832e-11,2.4314211525208176
FP2-F4,0.00010666844295638423,6.6343956852542885e-06,6.853303157308753e-08,1.7897739640892971,-5.918165173438547e-09,5.229738665293289e-06,4.923036275749677e-10,2.222878529540268
FP2-F8,0.00010933222763487615,6.523979610152636e-06,7.197658985734841e-08,1.7899330131654028,-1.7801227217781122e-08,4.794741607186662e-06,4.138175513407931e-10,2.39007108927956
FT10-T8,2.7177650691315876e-05,3.663763350903733e-06,4.5122871539436455e-09,1.7820905508213813,-1.3663323944803763e-08,3.005399096072289e-06,1.6258698743568037e-10,2.3888759153979366
FT9-FT10,-3.901661205652893e-05,6.70193616403246e-07,9.136471055118877e-09,1.7916109337476243,3.333616649152056e-08,1.0586226706852736e-06,2.0192278659933084e-11,2.622428193997394
FZ-CZ,8.472615035896847e-05,1.8696923206946106e-06,4.309209782414758e-08,1.7915140277935286,-2.4117980834049575e-09,2.4019207870377895e-06,1.0384612711153612e-10,2.3068256249560473
P3-O1,8.068777708941366e-05,4.2315003287402665e-06,3.9170537799978224e-08,1.7904101635686114,-8.064064004828901e-09,3.510294103899168e-06,2.2180013504995561e-10,2.3405031014112545
P4-O2,-5.772786886382023e-05,2.722525217642211e-06,2.0039513922714742e-08,1.7906310116090238,-8.659958623856915e-08,5.933150427242103e-06,6.337759226511572e-10,2.536752329592878
P7-O1,3.939412110555094e-05,3.1779513716963036e-06,9.371976915598084e-09,1.7885941151272684,-5.650411569695146e-10,2.9483620089820642e-06,1.5647109939504473e-10,2.344587116096412
P7-T7,-2.5187412541097987e-05,8.451412966431108e-07,3.81072008596051e-09,1.7911898520199543,-1.9867902443164652e-08,1.2997633026305592e-06,3.0416028775426614e-11,2.5794164291472326
P8-O2,-9.91652948481618e-05,2.3490436109139146e-06,5.9035642249253035e-08,1.7914815690175931,-9.578628199129625e-08,3.6405964321824514e-06,2.387361130890716e-10,2.6298783284147564
T7-FT9,2.6776894059637318e-05,6.591183994758912e-07,4.304618955273407e-09,1.7914538174016854,7.453263310735294e-09,1.1945986490377955e-06,2.5688186701504293e-11,2.228516034592036
T7-P7,2.6295425579601922e-05,8.472488749078733e-07,4.1530034224104944e-09,1.791234494203648,1.9914550111288402e-08,1.304098683854872e-06,3.0619259397686595e-11,2.5791499865158944
T8-P8-0,8.205387082011716e-05,9.315148246232164e-06,4.0917658220482524e-08,1.7855580253535024,2.751771966065579e-08,7.571711961635287e-06,1.0319684265875916e-09,2.2330632799412817
T8-P8-1,8.205387082011716e-05,9.315148246232164e-06,4.0917658220482524e-08,1.7855580253535024,2.751771966065579e-08,7.571711961635287e-06,1.0319684265875916e-09,2.2330632799412817
