,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,2.2142924093365064e-05,4.1015335732837764e-05,2.389823537950118e-08,2.2134102302712337,-5.115425158257627e-07,4.159195582019069e-06,8.6046859811423e-10,3.3727894602081028
C3-P3,1.5602664235958683e-05,1.8459805450022174e-05,6.426283033640058e-09,2.2848283548115997,2.760626899334196e-08,3.6854048496652703e-06,6.655655795891772e-10,3.5807120898017244
C4-P4,1.827959756403651e-05,4.951051183331143e-05,3.0639779160095614e-08,2.2651400422569616,-2.2918392099025025e-07,3.3997056828973284e-06,5.68915675998278e-10,3.278706818801486
CZ-PZ,2.5900123730436317e-05,9.378282353621438e-05,1.0412637839644298e-07,2.314444187769853,-6.268957278608109e-08,2.84640290502281e-06,3.9719103453266137e-10,3.6481374642259023
F3-C3,3.0525335703481666e-05,4.6984748675130716e-05,3.4532990006629944e-08,2.202960103416621,-4.170320508431281e-07,6.657201852233793e-06,2.180120359407958e-09,3.2628174500507052
F4-C4,1.431017894488479e-05,7.687500013615115e-05,6.726001554104651e-08,2.307408410219371,-4.050392500739452e-07,3.69035356921676e-06,6.753555467366358e-10,3.4475974472504847
F7-T7,1.550967240233997e-05,2.4663193309900264e-05,9.33705346496357e-09,2.272383039575938,-7.959980772032097e-08,2.9198258010614157e-06,4.1805422305871947e-10,3.3539666050810673
F8-T8,3.374592454157335e-05,6.76637117014659e-05,6.288881834823122e-08,2.22774854230697,2.492140183405048e-07,8.580231058211732e-06,3.6104411593226938e-09,3.4384965460208887
FP1-F3,-2.392287149030534e-05,2.615776770141999e-05,1.3821858506094267e-08,2.057068237190962,-4.950434874174954e-07,4.247070158638148e-06,8.958509763546277e-10,3.3259911267206017
FP2-F4,8.304006261970454e-05,5.635945773574396e-05,1.1079244523766715e-07,2.3278989448176812,-7.447485904843829e-07,4.754536886102898e-06,1.1348533017527338e-09,3.192444373521104
FP2-F8,5.164881053548676e-05,7.6511363508979e-05,9.3737472133071e-08,2.3023915374135093,-1.402320088848247e-06,6.2793884271136845e-06,2.028463811857675e-09,3.5572514721812922
FT10-T8,-1.0654945069143056e-06,2.9846237616729402e-05,9.811264962603913e-09,2.3365645595139064,-3.300627694780126e-08,3.6538724470599995e-06,6.542417904114071e-10,3.3292112709911295
FT9-FT10,-3.4248643555568436e-05,1.8586839357798714e-05,1.6702842009798944e-08,2.1890355852812267,3.5427392766302797e-07,7.944095525016756e-06,3.098474022594238e-09,3.243544898157484
FZ-CZ,5.4524476905905895e-05,3.825316609258979e-05,4.8798456277669184e-08,2.170975003077304,-4.394480632132932e-07,3.5812398199132343e-06,6.379012691517104e-10,3.3836016537354436
P3-O1,5.145250259822376e-05,3.5453006745507284e-05,4.294703282008928e-08,2.14878488925499,4.182461206368056e-07,5.36369874139361e-06,1.4182655062869016e-09,3.3889700764850583
P4-O2,-7.298729808388177e-05,3.286404812015165e-05,7.047910474471961e-08,2.309038578474454,-3.1982995546683387e-07,5.55735988168309e-06,1.518340462692776e-09,3.6234642429716857
P7-O1,2.2422767106429152e-05,2.2418321098564334e-05,1.1058977661462457e-08,2.266817607480195,2.376360299352724e-07,2.6607797166819463e-06,3.496747595880434e-10,3.4537412716251814
P7-T7,-9.924344159498374e-06,1.886901995746026e-05,4.9998577326632335e-09,2.3273949521713027,1.4249796563716186e-07,1.750385970144856e-06,1.511236790198432e-10,3.530599917689581
P8-O2,-8.049302284141136e-05,2.28028501831353e-05,7.699006372884735e-08,2.3516419460220104,-8.687649129438735e-07,8.670341750716461e-06,3.720549348860789e-09,3.5633846668473916
T7-FT9,3.001570144824313e-05,1.3219207415997895e-05,1.1832587559509628e-08,2.314914902329897,-7.111080026868211e-07,7.177685257364992e-06,2.549217172018719e-09,3.414391824055642
T7-P7,1.1030387364281293e-05,1.8871163586317777e-05,5.255692865584286e-09,2.3279365218967545,-1.423767138769368e-07,1.7507608267217117e-06,1.5118629545084663e-10,3.530571038605519
T8-P8-0,3.628394142306497e-05,5.775622160923721e-05,5.117536093744502e-08,2.2974229431316617,3.8181260971916807e-07,3.762568445854289e-06,7.008324067552672e-10,3.135981666692019
T8-P8-1,3.628394142306497e-05,5.775622160923721e-05,5.117536093744502e-08,2.2974229431316617,3.8181260971916807e-07,3.762568445854289e-06,7.008324067552672e-10,3.135981666692019
