,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,4.9199333410169835e-05,1.4419804145749764e-05,1.839953611724785e-08,1.8963552371084056,-1.0721379845920358e-07,4.434371865165757e-06,4.3285327001738103e-10,2.536718988752122
C3-P3,3.09321721074244e-05,1.773597393428938e-06,6.719614432981115e-09,1.94429735825783,1.0457336134048607e-07,2.2392030301407674e-06,1.1054924755806012e-10,2.6985257526629907
C4-P4,6.130048347803919e-05,1.8915211215881245e-06,2.6329289887563398e-08,1.9454379690764547,7.833322984743414e-08,2.600940908910933e-06,1.4896265354398478e-10,2.442741222349094
CZ-PZ,0.00010182165780211623,9.651345692933204e-06,7.322558929879028e-08,1.9412597453481093,-1.1070221609782566e-07,2.779318066485103e-06,1.7021100569746812e-10,2.84455785005749
F3-C3,6.573365366036985e-05,1.6008847951093354e-05,3.204037505383878e-08,1.9128044356162854,1.442707663364996e-07,5.9745389741154305e-06,7.857504601593589e-10,2.4432810749450367
F4-C4,7.020485029843097e-05,2.404538565116478e-05,3.85483110357684e-08,1.8758194667186996,1.576101242498154e-07,6.546393134227415e-06,9.433622884207695e-10,2.4581559629994185
F7-T7,3.0312462491706337e-05,1.3930297877790782e-05,7.790290068925602e-09,1.80150632607363,3.126817822763758e-08,4.481620373349852e-06,4.418897751354712e-10,2.5843386561536867
F8-T8,7.636478645807602e-05,4.0957210100854237e-05,5.2563515690231466e-08,1.7678604804828284,1.3098960615132504e-07,1.2140365376765562e-05,3.2429238546823297e-09,2.6004940105019223
FP1-F3,-2.7744944316298037e-05,1.3877802207627816e-05,6.736627304599627e-09,1.8330291164891508,-5.237758571751056e-08,3.4730459752523058e-06,2.654254186694404e-10,2.6641578243770443
FP2-F4,8.658569377212754e-05,3.903933304456654e-05,6.314806323395662e-08,1.809122564638865,-1.2909602153565604e-09,1.0600947709836597e-05,2.4723620682918967e-09,2.3390907904484726
FP2-F8,9.487763679543514e-05,3.074431220137801e-05,6.962885087635615e-08,1.8840619155886775,-1.4095643618832245e-07,8.700268407396554e-06,1.6657198597082012e-09,2.7400823925746574
FT10-T8,1.7297472643919385e-05,1.878688560471207e-05,4.565047414141739e-09,1.8278130212339778,-2.1338083589966682e-08,5.113240436875534e-06,5.752050277404288e-10,2.3389850236441827
FT9-FT10,-4.517786711296388e-05,9.89575835767479e-06,1.4972759972450797e-08,1.9233448740236114,-6.104872274015196e-08,3.425158103611833e-06,2.581795695882923e-10,2.6975178558858643
FZ-CZ,7.738718186321808e-05,1.554298735367887e-05,4.361252260825186e-08,1.9238888789649973,1.830695914392784e-07,6.922070002368964e-06,1.054868487046132e-09,2.2008349224461825
P3-O1,7.774167251573308e-05,3.839949127722751e-06,4.2409589983928915e-08,1.944668131909819,-1.5820212112788415e-07,6.601442731892624e-06,9.59289629178921e-10,2.348017577795971
P4-O2,-4.928375155557553e-05,1.4256537042862599e-05,1.842495911092345e-08,1.8978350627988105,-3.978381311208469e-07,7.602297995640204e-06,1.2749706198479535e-09,2.8807361322927387
P7-O1,4.0358891799518905e-05,2.634945608468999e-06,1.1450481599514053e-08,1.943810649111371,-1.2768673248008637e-07,3.3852733514443035e-06,2.524803504443086e-10,2.6417899115349632
P7-T7,-2.225823511395861e-05,6.038665170247188e-06,3.723261551986315e-09,1.9040920834115327,-9.304018058040258e-08,2.1369679966731095e-06,1.0065635126816537e-10,2.7472155468480675
P8-O2,-8.540771954480748e-05,1.943442421548944e-05,5.370522781702465e-08,1.9172540075853282,1.534064260693703e-08,8.550515670594566e-06,1.6084541785047744e-09,2.7549074107209317
T7-FT9,3.307091594327362e-05,1.0265489062687589e-05,8.393460229162597e-09,1.9015410300026876,-5.08762167271789e-08,6.0455992997928155e-06,8.041409042278451e-10,2.492741217377088
T7-P7,2.336541143123578e-05,6.04141379473429e-06,4.0770879239309065e-09,1.9082358539207724,9.361027336740303e-08,2.1382221945734912e-06,1.0077665480622515e-10,2.74754398408508
T8-P8-0,8.236125086158658e-05,5.618470709260987e-06,4.770459999617214e-08,1.9436136818665928,-1.6993687240473644e-07,8.274001488703006e-06,1.5067355418645698e-09,2.3281763002126667
T8-P8-1,8.236125086158658e-05,5.618470709260987e-06,4.770459999617214e-08,1.9436136818665928,-1.6993687240473644e-07,8.274001488703006e-06,1.5067355418645698e-09,2.3281763002126667
