,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,5.6521402042844705e-05,1.8525501184647214e-06,1.918860498498188e-08,1.7912150289970594,2.4116910303768272e-22,1.5014937046908047e-06,4.058070021407011e-11,2.523232833835329
C3-P3,3.0363165184150355e-05,1.1757341788999322e-06,5.5398249051566025e-09,1.7910195915486837,4.705738595857224e-22,1.432268647066781e-06,3.692508259266913e-11,2.4765987303874666
C4-P4,6.0764042729963986e-05,1.7538180222745911e-06,2.217206859926487e-08,1.7913483995295163,5.029258124322408e-22,8.856687980458505e-07,1.4119365956975667e-11,2.4030191611595573
CZ-PZ,0.00010587745536966572,4.11231238660538e-06,6.736168001232352e-08,1.79099112939439,8.88208159968051e-22,1.8508125651594437e-06,6.165912872433744e-11,2.567181708712234
F3-C3,7.217203213310695e-05,6.6200850299076375e-06,3.151576648815257e-08,1.787377199446608,8.235042542750142e-23,5.010957245349795e-06,4.5197446526502477e-10,2.3944091058201744
F4-C4,8.02801898907127e-05,9.041164511040914e-06,3.915990926762758e-08,1.7850671069238024,8.940903332128726e-22,5.2020035607678046e-06,4.870951388323367e-10,2.1919165436837087
F7-T7,3.569946435950483e-05,6.252286127221755e-06,7.881257024233233e-09,1.7749072169331335,3.352838749548272e-22,2.797399961862162e-06,1.4085803783927566e-10,2.397346886468654
F8-T8,8.989684211484974e-05,2.5252803043317144e-05,5.231487770260073e-08,1.7446588294109695,3.1763735522036263e-22,1.1091581749679348e-05,2.2144173427767597e-09,2.278002128996136
FP1-F3,-2.1349910746625825e-05,3.774661451922812e-06,2.8204005477931256e-09,1.7770826693005268,0.0,1.8164414969513125e-06,5.939027481324105e-11,2.3025947323213476
FP2-F4,0.0001038975563823434,1.1825620338928257e-05,6.56072851117362e-08,1.7849124788737734,5.088079856770623e-22,5.9352234674774505e-06,6.340837969601109e-10,1.9804717130380913
FP2-F8,0.00011049721967341784,4.311143833569208e-06,7.336932910025567e-08,1.7909873718317288,1.148540280529879e-21,4.654644390053971e-06,3.899828591614962e-10,2.3697308574748654
FT10-T8,2.4678026663410507e-05,8.306971132249974e-06,4.068064616352207e-09,1.72018511981785,9.117368529473372e-23,3.7455133330197388e-06,2.525196623009154e-10,2.105369073696481
FT9-FT10,-4.110647421297797e-05,3.484641784272261e-06,1.0211309703521512e-08,1.7882948125011413,-1.9999389032393202e-22,1.688945921336059e-06,5.134568985355877e-11,2.60219970729877
FZ-CZ,8.584276323604688e-05,4.3885203065870115e-07,4.4215035546628885e-08,1.791746411331007,2.4999236290491504e-22,2.444113322434385e-06,1.0752641879222249e-10,2.381733013851061
P3-O1,8.16001225489276e-05,5.939633879493352e-06,4.016315550373456e-08,1.7891820912824263,1.0117337981093032e-21,3.686135908700456e-06,2.445767628733969e-10,2.195735304228554
P4-O2,-5.1416091082677835e-05,1.529619285291848e-05,1.7265527628095387e-08,1.738001226589989,-4.235164736271502e-22,7.298754323906097e-06,9.588926642532831e-10,2.6526176075417855
P7-O1,4.108761803214633e-05,6.336786610926402e-06,1.0370083320647832e-08,1.7805007909501487,2.3087529985924504e-22,3.3393533254897864e-06,2.0072305138427452e-10,2.154324197885386
P7-T7,-2.5031580054003786e-05,1.343242787782769e-06,3.770305807121583e-09,1.790286650249469,-7.058607893785836e-23,1.268174670695457e-06,2.8948805917083554e-11,2.5807139720264205
P8-O2,-9.046252753979898e-05,1.488043504978618e-05,5.042937741695876e-08,1.7769276271276842,-1.176434648964306e-21,6.440357274465096e-06,7.466076328095985e-10,2.491921712679905
T7-FT9,2.8722677451797564e-05,2.93641486406905e-06,5.001688393523554e-09,1.7867417815729556,1.9411171707911049e-22,1.5952213319082554e-06,4.580515975995267e-11,2.5982295936419058
T7-P7,2.613938067786271e-05,1.3458204161035136e-06,4.110470728887741e-09,1.7904049899458476,9.411477191714448e-23,1.27248423096715e-06,2.914589012508106e-11,2.5804886881144773
T8-P8-0,8.292005520714247e-05,1.0834617816099043e-05,4.1958746992658925e-08,1.7835961385481092,1.4999541774294901e-21,7.744985476231962e-06,1.0797264004867927e-09,2.192694125558113
T8-P8-1,8.292005520714247e-05,1.0834617816099043e-05,4.1958746992658925e-08,1.7835961385481092,1.4999541774294901e-21,7.744985476231962e-06,1.0797264004867927e-09,2.192694125558113
