,Dominant Frequency (Hz)
# FP1-F7,2.5036674816625917
C3-P3,1.2518337408312958
C4-P4,3.12958435207824
CZ-PZ,1.2518337408312958
F3-C3,1.2518337408312958
F4-C4,1.2518337408312958
F7-T7,1.2518337408312958
F8-T8,1.8777506112469438
FP1-F3,1.2518337408312958
FP2-F4,3.12958435207824
FP2-F8,3.7555012224938875
FT10-T8,1.8777506112469438
FT9-FT10,2.5036674816625917
FZ-CZ,1.2518337408312958
P3-O1,5.007334963325183
P4-O2,2.5036674816625917
P7-O1,6.885085574572127
P7-T7,2.5036674816625917
P8-O2,2.5036674816625917
T7-FT9,3.7555012224938875
T7-P7,2.5036674816625917
T8-P8-0,2.5036674816625917
T8-P8-1,2.5036674816625917
