,Dominant Frequency (Hz)
# FP1-F7,3.1411042944785277
C3-P3,3.1411042944785277
C4-P4,4.711656441717792
CZ-PZ,3.1411042944785277
F3-C3,3.1411042944785277
F4-C4,1.5705521472392638
F7-T7,3.1411042944785277
F8-T8,1.5705521472392638
FP1-F3,1.5705521472392638
FP2-F4,7.852760736196319
FP2-F8,4.711656441717792
FT10-T8,1.5705521472392638
FT9-FT10,1.5705521472392638
FZ-CZ,1.5705521472392638
P3-O1,1.5705521472392638
P4-O2,3.1411042944785277
P7-O1,3.1411042944785277
P7-T7,3.1411042944785277
P8-O2,4.711656441717792
T7-FT9,3.1411042944785277
T7-P7,3.1411042944785277
T8-P8-0,3.1411042944785277
T8-P8-1,3.1411042944785277
