,Dominant Frequency (Hz)
# FP1-F7,11.130434782608695
C3-P3,1.2367149758454106
C4-P4,1.2367149758454106
CZ-PZ,1.2367149758454106
F3-C3,2.473429951690821
F4-C4,2.473429951690821
F7-T7,2.473429951690821
F8-T8,4.946859903381642
FP1-F3,12.367149758454106
FP2-F4,13.603864734299517
FP2-F8,1.2367149758454106
FT10-T8,13.603864734299517
FT9-FT10,1.2367149758454106
FZ-CZ,1.2367149758454106
P3-O1,3.7101449275362315
P4-O2,2.473429951690821
P7-O1,2.473429951690821
P7-T7,2.473429951690821
P8-O2,2.473429951690821
T7-FT9,1.2367149758454106
T7-P7,2.473429951690821
T8-P8-0,2.473429951690821
T8-P8-1,2.473429951690821
