,Frequency Entropy
# FP1-F7,0.6481565277224117
C3-P3,1.100839719029765
C4-P4,0.9385033729624193
CZ-PZ,0.724007954727364
F3-C3,0.7310527973931014
F4-C4,0.5757247297609447
F7-T7,0.8426212947959324
F8-T8,0.5778662201090913
FP1-F3,0.43009706853049706
FP2-F4,0.3722095841688669
FP2-F8,0.8313531796364739
FT10-T8,0.4019694322824366
FT9-FT10,0.9648123609755433
FZ-CZ,0.9145527211230764
P3-O1,0.6728729170785153
P4-O2,0.9321492172446386
P7-O1,0.5815438147797929
P7-T7,1.2713756237546328
P8-O2,1.0181270186832594
T7-FT9,0.6192862720154769
T7-P7,1.2723424509688077
T8-P8-0,0.6852107939744178
T8-P8-1,0.6852107939744178
