,Frequency Entropy
# FP1-F7,0.7676305730553484
C3-P3,1.5540392037007122
C4-P4,0.837692284510583
CZ-PZ,0.788223833035119
F3-C3,0.3875401418453669
F4-C4,0.4626319627412422
F7-T7,0.7428064888529263
F8-T8,0.9194509820892992
FP1-F3,0.6470770780170445
FP2-F4,0.39408302778846954
FP2-F8,0.8899521283594859
FT10-T8,0.4599165577157445
FT9-FT10,0.7297511758590824
FZ-CZ,0.9492943806071716
P3-O1,0.9947830789761144
P4-O2,1.2105153273741316
P7-O1,1.308470180904695
P7-T7,1.0186190924768834
P8-O2,1.2108120380485372
T7-FT9,1.3681371838233123
T7-P7,1.0184825368757613
T8-P8-0,0.8982034522756613
T8-P8-1,0.8982034522756613
