,Dominant Frequency (Hz)
# FP1-F7,2.8926553672316384
C3-P3,4.338983050847458
C4-P4,7.231638418079096
CZ-PZ,1.4463276836158192
F3-C3,2.8926553672316384
F4-C4,2.8926553672316384
F7-T7,2.8926553672316384
F8-T8,2.8926553672316384
FP1-F3,15.90960451977401
FP2-F4,2.8926553672316384
FP2-F8,1.4463276836158192
FT10-T8,1.4463276836158192
FT9-FT10,8.677966101694915
FZ-CZ,2.8926553672316384
P3-O1,2.8926553672316384
P4-O2,4.338983050847458
P7-O1,7.231638418079096
P7-T7,2.8926553672316384
P8-O2,4.338983050847458
T7-FT9,2.8926553672316384
T7-P7,2.8926553672316384
T8-P8-0,5.785310734463277
T8-P8-1,5.785310734463277
