,Dominant Frequency (Hz)
# FP1-F7,2.8507795100222717
C3-P3,2.8507795100222717
C4-P4,4.5612472160356345
CZ-PZ,14.253897550111358
F3-C3,2.2806236080178173
F4-C4,1.1403118040089086
F7-T7,3.99109131403118
F8-T8,1.1403118040089086
FP1-F3,2.2806236080178173
FP2-F4,2.2806236080178173
FP2-F8,2.2806236080178173
FT10-T8,3.4209354120267257
FT9-FT10,2.8507795100222717
FZ-CZ,2.2806236080178173
P3-O1,1.7104677060133628
P4-O2,1.7104677060133628
P7-O1,1.1403118040089086
P7-T7,2.8507795100222717
P8-O2,2.2806236080178173
T7-FT9,2.8507795100222717
T7-P7,2.8507795100222717
T8-P8-0,3.99109131403118
T8-P8-1,3.99109131403118
