,Dominant Frequency (Hz)
# FP1-F7,11.885714285714286
C3-P3,12.799999999999999
C4-P4,12.799999999999999
CZ-PZ,12.799999999999999
F3-C3,3.657142857142857
F4-C4,1.8285714285714285
F7-T7,1.8285714285714285
F8-T8,7.314285714285714
FP1-F3,11.885714285714286
FP2-F4,12.799999999999999
FP2-F8,12.799999999999999
FT10-T8,1.8285714285714285
FT9-FT10,2.742857142857143
FZ-CZ,11.885714285714286
P3-O1,1.8285714285714285
P4-O2,2.742857142857143
P7-O1,2.742857142857143
P7-T7,2.742857142857143
P8-O2,2.742857142857143
T7-FT9,5.485714285714286
T7-P7,2.742857142857143
T8-P8-0,2.742857142857143
T8-P8-1,2.742857142857143
