,Dominant Frequency (Hz)
# FP1-F7,1.5609756097560976
C3-P3,1.5609756097560976
C4-P4,3.1219512195121952
CZ-PZ,13.26829268292683
F3-C3,1.5609756097560976
F4-C4,1.5609756097560976
F7-T7,2.3414634146341466
F8-T8,2.3414634146341466
FP1-F3,7.024390243902439
FP2-F4,2.3414634146341466
FP2-F8,1.5609756097560976
FT10-T8,1.5609756097560976
FT9-FT10,1.5609756097560976
FZ-CZ,1.5609756097560976
P3-O1,7.024390243902439
P4-O2,7.024390243902439
P7-O1,7.804878048780488
P7-T7,3.1219512195121952
P8-O2,1.5609756097560976
T7-FT9,2.3414634146341466
T7-P7,3.1219512195121952
T8-P8-0,1.5609756097560976
T8-P8-1,1.5609756097560976
