,Dominant Frequency (Hz)
# FP1-F7,2.522167487684729
C3-P3,2.522167487684729
C4-P4,2.522167487684729
CZ-PZ,2.522167487684729
F3-C3,2.522167487684729
F4-C4,2.522167487684729
F7-T7,2.522167487684729
F8-T8,2.522167487684729
FP1-F3,1.2610837438423645
FP2-F4,1.2610837438423645
FP2-F8,5.044334975369458
FT10-T8,3.7832512315270934
FT9-FT10,2.522167487684729
FZ-CZ,2.522167487684729
P3-O1,5.044334975369458
P4-O2,2.522167487684729
P7-O1,5.044334975369458
P7-T7,1.2610837438423645
P8-O2,2.522167487684729
T7-FT9,2.522167487684729
T7-P7,1.2610837438423645
T8-P8-0,3.7832512315270934
T8-P8-1,3.7832512315270934
