,Frequency Entropy
# FP1-F7,1.2828491933047446
C3-P3,1.9160879496079766
C4-P4,1.3859533863548927
CZ-PZ,0.777331408690667
F3-C3,1.4653462770695962
F4-C4,1.506733067165583
F7-T7,1.554977349345799
F8-T8,2.0641961252177197
FP1-F3,1.198917126218364
FP2-F4,0.9745578314233377
FP2-F8,1.2539953818880136
FT10-T8,1.578153099965855
FT9-FT10,1.9296387735378775
FZ-CZ,1.1122714743797029
P3-O1,1.841188458582599
P4-O2,2.1126863821605184
P7-O1,1.5480926520309974
P7-T7,1.7344837851568073
P8-O2,2.1957958853846735
T7-FT9,2.1144258089929187
T7-P7,1.73444815782562
T8-P8-0,0.3456545688646254
T8-P8-1,0.3456545688646254
