,Frequency Entropy
# FP1-F7,0.7800108080584849
C3-P3,1.153513145845141
C4-P4,0.7574453704017124
CZ-PZ,0.5630039882202986
F3-C3,0.7065337680737244
F4-C4,0.4164874739417886
F7-T7,0.8539396104200674
F8-T8,0.7245595599641518
FP1-F3,0.2847342256401386
FP2-F4,0.22406658789869197
FP2-F8,0.9562528300675739
FT10-T8,0.5648691432078364
FT9-FT10,0.8685421852552803
FZ-CZ,1.2466226560080402
P3-O1,0.7189838286722745
P4-O2,1.076206411233391
P7-O1,0.893972190385763
P7-T7,1.3433471479122483
P8-O2,0.9074925260091824
T7-FT9,0.9303025210599218
T7-P7,1.3439594400609727
T8-P8-0,0.7487001343082661
T8-P8-1,0.7487001343082661
