,Frequency Entropy
# FP1-F7,0.5373092288443742
C3-P3,0.8711319059040565
C4-P4,1.0723028857646555
CZ-PZ,0.906957110404128
F3-C3,0.7447817231765611
F4-C4,0.6616813814775298
F7-T7,1.0723107581680769
F8-T8,0.9236053242147244
FP1-F3,0.5527165592706094
FP2-F4,0.4099673477864349
FP2-F8,0.5862467383433878
FT10-T8,0.5878660520054293
FT9-FT10,0.9467473655223878
FZ-CZ,0.8642883948211916
P3-O1,0.719655583248096
P4-O2,0.6738415507889645
P7-O1,0.6762673221381154
P7-T7,0.7747519145955872
P8-O2,0.8117921242547156
T7-FT9,0.9798446289385379
T7-P7,0.7736665138657869
T8-P8-0,0.6409227694476208
T8-P8-1,0.6409227694476208
