,Frequency Entropy
# FP1-F7,0.6232729106615267
C3-P3,1.5521593911282616
C4-P4,0.9831393384379554
CZ-PZ,0.9059146154358882
F3-C3,0.62409122832922
F4-C4,0.5302049020418897
F7-T7,1.046117486141218
F8-T8,1.5306364742757617
FP1-F3,0.8368167803607157
FP2-F4,0.5293007617617415
FP2-F8,0.710812342240591
FT10-T8,1.240303704416521
FT9-FT10,1.2684501424542436
FZ-CZ,0.6953579990688511
P3-O1,1.6151180271874424
P4-O2,1.826860644370049
P7-O1,1.486166575561188
P7-T7,1.318743612292856
P8-O2,1.6885954109971566
T7-FT9,1.5534307991249734
T7-P7,1.3187037687375684
T8-P8-0,0.9071672194504026
T8-P8-1,0.9071672194504026
