,Frequency Entropy
# FP1-F7,0.6648899905813161
C3-P3,1.596158935844155
C4-P4,1.0728923871940204
CZ-PZ,1.0249196343435822
F3-C3,0.2975442494250867
F4-C4,0.5202762037417371
F7-T7,0.7697704352927408
F8-T8,1.0016980305969199
FP1-F3,0.5927637622209204
FP2-F4,0.3849758192052544
FP2-F8,0.8570978262036157
FT10-T8,0.7470692174395573
FT9-FT10,1.3413410235492553
FZ-CZ,0.690867818701568
P3-O1,1.0434604373309027
P4-O2,1.2986403767039811
P7-O1,1.5082342704123515
P7-T7,0.974866266081595
P8-O2,1.2673187936271344
T7-FT9,1.5536087717463762
T7-P7,0.9751378596927026
T8-P8-0,0.9888941696827772
T8-P8-1,0.9888941696827772
