,Frequency Entropy
# FP1-F7,0.6929549344838639
C3-P3,0.05585903023667585
C4-P4,0.6365141682948128
CZ-PZ,0.6460862015704374
F3-C3,0.4678839775628967
F4-C4,0.6931247749839731
F7-T7,0.5156561613841639
F8-T8,0.6905846872770522
FP1-F3,0.6365141682948128
FP2-F4,0.44200647253851055
FP2-F8,0.6730116670092559
FT10-T8,0.3489008502584683
FT9-FT10,0.0013823068925223948
FZ-CZ,0.6926057413304764
P3-O1,0.6909233093138178
P4-O2,0.6406508347065543
P7-O1,0.6805558383228838
P7-T7,0.6577805891552471
P8-O2,0.5789034371236799
T7-FT9,0.6675320259372404
T7-P7,0.6576398461145744
T8-P8-0,0.43847112698625984
T8-P8-1,0.43847112698625984
