,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,3.235654215825077e-05,2.014934524242837e-05,1.0170593538960609e-08,1.7992154561190306,5.5467304289298055e-08,6.6630896899417354e-06,9.323966575991126e-10,2.3386752221932086
C3-P3,3.0270908599348015e-05,1.2939375243111476e-06,6.426015272228315e-09,1.9449848304824986,3.66445785750394e-08,1.8885979407103826e-06,7.493104514268324e-11,2.669852815562526
C4-P4,6.254528707697496e-05,7.41823392427924e-06,2.7768601910675768e-08,1.9385583657942325,-1.3901536437161027e-08,5.5122782052697285e-06,6.380934895651466e-10,2.5033984663797426
CZ-PZ,8.603265307677883e-05,1.0557634940945282e-05,5.259156735682956e-08,1.9380396723290243,2.7113502841600148e-08,6.747867492644972e-06,9.56223467646953e-10,2.434987803002939
F3-C3,4.820704456351761e-05,1.6458718738441746e-05,1.816365997642074e-08,1.8765454718031152,-3.057015821719654e-08,4.383774467089553e-06,4.0358667537047396e-10,2.4310304674076617
F4-C4,4.3380581323539864e-05,2.0810030951079382e-05,1.6204525569071965e-08,1.7847301533533528,4.5850300713629434e-08,8.266260602308747e-06,1.4349964985025037e-09,2.274070981884466
F7-T7,1.8355735315467382e-05,1.1287013611234165e-05,3.250307866621771e-09,1.7975273648859706,-8.802802999385474e-08,3.807924633868559e-06,3.0466881797703956e-10,2.5976343181710773
F8-T8,3.837231000217812e-05,2.1818723497944457e-05,1.3639436089881094e-08,1.7838054183972265,-2.1805165572848552e-07,1.237975454984088e-05,3.21942325401631e-09,2.5420665529721713
FP1-F3,-4.489159344791137e-05,1.6077862291176947e-05,1.591626972702626e-08,1.8866479303328643,2.2836043124601293e-08,6.308056033345984e-06,8.356339404986636e-10,2.302516509403703
FP2-F4,4.5481158123826614e-05,3.829238331960236e-05,2.4743896552059173e-08,1.800346483408771,6.237978772118627e-08,1.3941184909608539e-05,4.0815710863580715e-09,2.224399159663276
FP2-F8,5.4178395101928546e-05,4.004085014588033e-05,3.1769977233578635e-08,1.8102793626990292,2.639360476634713e-07,1.5310552493553543e-05,4.924136277797413e-09,2.5541222277854243
FT10-T8,-1.1927511682923502e-07,1.2555840582174319e-05,1.103643514949291e-09,1.7638082669042108,-4.071132267469286e-08,6.058261457694433e-06,7.707879753331759e-10,2.4246959032967443
FT9-FT10,-4.838557999023961e-05,2.1630035633769354e-06,1.64209005478494e-08,1.9449197071029534,-1.7538544527404945e-08,5.8754436425982325e-06,7.249440575557345e-10,2.4441964516349612
FZ-CZ,6.45969310389721e-05,2.2005348649742415e-05,3.259899208195307e-08,1.876867742874817,9.235240966375669e-08,5.5102094614749616e-06,6.377896828148766e-10,2.5757715459536845
P3-O1,8.388104126217047e-05,8.43559107393472e-06,4.9750317959948134e-08,1.9406599552133816,3.170926124318736e-08,2.9997090075098164e-06,1.8898445174666644e-10,2.6621393499824992
P4-O2,-4.0255700747260904e-05,5.858350573564725e-06,1.1583891998670661e-08,1.9348078548973333,2.3186276298736055e-07,6.502470997939691e-06,8.890536778180457e-10,2.5524638054167634
P7-O1,4.5791313766686436e-05,2.9227150667184633e-06,1.4737706758882447e-08,1.9438264746418745,8.876531713546784e-08,1.758513752507284e-06,6.510524788495158e-11,2.5759657150089237
P7-T7,-1.6670853752634562e-05,6.758860388122648e-06,2.265196910115043e-09,1.8421548938031869,-5.6854241713188826e-08,2.0879711696386854e-06,9.161997621090556e-11,2.451920092110351
P8-O2,-7.793520834844755e-05,8.854914770984632e-06,4.306614351142132e-08,1.9392047721225685,3.0443127512588794e-07,9.527671864992259e-06,1.9082534009330376e-09,2.691186912848839
T7-FT9,3.229482629612685e-05,3.957983247305182e-06,7.410350058180686e-09,1.938649436966275,1.316457874123138e-07,4.867590624246827e-06,4.979261510705795e-10,2.6201095245322157
T7-P7,1.7774955047641912e-05,6.757017471734115e-06,2.5312441844130764e-09,1.8569873389630513,5.685575562772968e-08,2.087756054588722e-06,9.160111632881722e-11,2.452277879284476
T8-P8-0,9.626659059585509e-05,7.88751924959515e-06,6.530628597403896e-08,1.942451326858459,2.48165446824321e-09,3.0866312235348552e-06,2.0007326784289272e-10,2.7909501783758004
T8-P8-1,9.626659059585509e-05,7.88751924959515e-06,6.530628597403896e-08,1.942451326858459,2.48165446824321e-09,3.0866312235348552e-06,2.0007326784289272e-10,2.7909501783758004
