,Approx Mean,Approx Std,Approx Energy,Approx Entropy,Detail Mean,Detail Std,Detail Energy,Detail Entropy
# FP1-F7,4.067793393109406e-05,3.4530828878423895e-05,1.9929507163534125e-08,1.9296175180693027,-4.587723911786139e-07,7.2839559760944e-06,1.2783956824461377e-09,2.5330229304789085
C3-P3,2.9347794014535676e-05,1.680072888328528e-06,6.04880960900799e-09,1.9442050237925281,2.345179694456235e-07,1.926089785507833e-06,9.035569295593219e-11,2.934421480393101
C4-P4,5.3823899382211666e-05,1.7547572459660533e-05,2.2434506107534376e-08,1.8709404890582295,3.621102296996806e-08,6.766393313132552e-06,1.098849352948547e-09,2.383934991809599
CZ-PZ,9.694532410207942e-05,2.015828070369047e-05,6.863326502330201e-08,1.9210512803685587,-3.731297219987206e-07,4.572743071241777e-06,5.051809196406845e-10,2.8532294536668674
F3-C3,6.0009841656876586e-05,2.950971899944195e-05,3.1304032277765976e-08,1.8480377099329557,-4.785693552491227e-07,5.789430028141637e-06,8.099166882847593e-10,2.6680090328286212
F4-C4,6.656558816219952e-05,3.224157029690983e-05,3.829347467813095e-08,1.8161936166819677,-5.505932345896851e-07,4.9171872353897254e-06,5.87565197228534e-10,2.6390459218908804
F7-T7,2.9447318039810997e-05,1.6239439296750003e-05,7.916047498874245e-09,1.8542053211081584,-2.1910087453323238e-07,2.660521951368272e-06,1.7103317392640798e-10,2.8997371711168096
F8-T8,8.164485013816677e-05,3.065599176603575e-05,5.3239699696700725e-08,1.8617732816414378,-7.962827971773835e-07,9.805672394901517e-06,2.3228466578211435e-09,2.724194386108463
FP1-F3,-3.3856866639314276e-05,2.7883987351287037e-05,1.3466629184673334e-08,1.6835604965753457,-4.1445825591500103e-07,5.364809576233357e-06,6.948709784433893e-10,2.637324324934547
FP2-F4,7.837260506866458e-05,5.806638892610619e-05,6.659779523716688e-08,1.903367546838909,-8.915137216699467e-07,8.65804012205353e-06,1.8181549313043478e-09,2.485657445668145
FP2-F8,7.831688122921375e-05,6.873820429798038e-05,7.600932230907162e-08,1.9247878396474634,-1.1221502333763325e-06,1.4063525634255217e-05,4.777007385878885e-09,2.7037652710117928
FT10-T8,1.852208619839688e-05,1.6453275060325126e-05,4.296445561460927e-09,1.823062138622208,-3.90932547228086e-07,3.7601580527348755e-06,3.429988041127001e-10,2.6654051622001367
FT9-FT10,-3.724915682935002e-05,1.0326913023648525e-05,1.04590137196686e-08,1.8981427420967505,1.2540180519225775e-07,8.018100022129368e-06,1.5433356858627945e-09,2.5700412665874772
FZ-CZ,7.234144719787364e-05,2.8313321086702234e-05,4.224450393549005e-08,1.824581336240202,-1.359104719935679e-07,5.008672008146703e-06,6.025264065981562e-10,2.4089229698116865
P3-O1,8.089623826178472e-05,2.576963377491375e-06,4.585589473609461e-08,1.9454047619915082,3.29587552152037e-07,5.77788512952101e-06,8.038220285873661e-10,2.5351366566083064
P4-O2,-5.161885532081505e-05,9.75990311941726e-06,1.9318333534721522e-08,1.9266873533556843,-2.145267855965992e-07,5.856832226345088e-06,8.243641312630264e-10,2.9052630565668274
P7-O1,4.054212215723592e-05,3.129837827378119e-06,1.1574216876865488e-08,1.9429653877214266,1.9718920692405523e-07,2.789332041760551e-06,1.876621637404661e-10,2.782155371618199
P7-T7,-2.1466377681497534e-05,7.962800188730815e-06,3.6694809032724286e-09,1.8490598187985328,1.3849715403096986e-08,1.5826806025511072e-06,6.01216729033988e-11,2.980547488410514
P8-O2,-9.310986917776538e-05,6.94562660841075e-06,6.102382627098833e-08,1.9430090692366067,-3.90458946843724e-07,8.999104525165809e-06,1.9472721706567214e-09,2.771278559995562
T7-FT9,2.545144335835921e-05,7.316382658647824e-06,4.909137969620709e-09,1.892385831252018,-2.1790588961215438e-07,7.848887761240863e-06,1.4796605295668224e-09,2.5550881814230326
T7-P7,2.2574157480613322e-05,7.96402568923255e-06,4.011128037968005e-09,1.8610546816907412,-1.3656874916459e-08,1.5834793286995342e-06,6.018223907162906e-11,2.9805752495022624
T8-P8-0,7.923991881706553e-05,7.993839328183908e-06,4.440006340937967e-08,1.9408243387526163,6.970142109255249e-07,6.0555573761428805e-06,8.917344947037741e-10,2.579831269799887
T8-P8-1,7.923991881706553e-05,7.993839328183908e-06,4.440006340937967e-08,1.9408243387526163,6.970142109255249e-07,6.0555573761428805e-06,8.917344947037741e-10,2.579831269799887
